Device,algorithm_family,dev_backend,cpu_freq_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
RaspberryPiComputeModule5,OLA,RPi-fftw,1600.0,999.9973002515003,148806.3340922852,4.226,11.772355552702924,313.8157966058033,0.0485798312059646
RaspberryPiComputeModule5,OLA,RPi-fftw,1700.0,1029.9682042089696,157384.72499721602,4.339333333333333,8.877619869740425,552.1667343527641,0.03865057136274526
RaspberryPiComputeModule5,OLA,RPi-fftw,1800.0,1061.375086359279,165437.22182354025,4.4264,10.80828967155016,458.0182606366446,0.03516816742453346
RaspberryPiComputeModule5,OLA,RPi-fftw,1900.0,1121.3463568174313,173781.2495208641,4.400877192982457,7.724311533575581,502.99677493117173,0.03318990379254068
RaspberryPiComputeModule5,OLA,RPi-fftw,2100.0,1182.2240476290633,189206.08141161516,4.544736842105263,7.598770284276639,414.77801106534133,0.030462728691552653
RaspberryPiComputeModule5,OLA,RPi-fftw,2200.0,1207.777068426992,196763.32308932918,4.626315789473684,8.851197044894233,598.0329963190842,0.03631197539086388
RaspberryPiComputeModule5,OLA,RPi-fftw,2300.0,1246.726772946086,204756.59116648324,4.664035087719299,12.573478570276496,257.8704645858245,0.04700641397464108
RaspberryPiComputeModule5,OLA,RPi-fftw,2400.0,1281.815704152043,211787.25143751595,4.692105263157894,11.799242768420765,832.8835106220837,0.05207601518300636
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1600.0,130.16504746223532,28072.72167982533,5.281739804320449,5.303306945994438,1178.8260658807183,0.03173559281800821
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1700.0,132.92593212613343,28988.397833633746,5.340821466627919,4.65102511857742,1031.5886042792854,0.010841946348977873
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1800.0,132.19440248203432,28898.3923428186,5.3528819141722375,5.611149045835569,1355.040979182934,0.027808304104761327
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1900.0,134.18357581950053,29626.293491754466,5.406364428945074,6.979395899963818,1648.06871126576,0.02449213705361102
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2100.0,135.70111878690057,30322.915731870162,5.472401433691756,1.9620262258892855,506.7005245790668,0.01982697732751152
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2200.0,133.61692815798335,29896.06578542199,5.478853046594982,7.703366516286942,1805.4272828984494,0.020934233217396445
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2300.0,133.82228742567952,30270.582118676535,5.5397849462365585,3.503061783005186,815.6319765772355,0.029740465991267423
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2400.0,135.34399071221367,30820.166246543846,5.576702508960573,1.9892768805232381,560.9678607854573,0.021077737402056717
