KMeams-OpenCL-RPI
sample_index,timestamp_ns,timestamp_s,cpu_policy0_cur_khz,cpu_policy1_cur_khz,cpu_policy2_cur_khz,cpu_policy3_cur_khz,cpu_policy4_cur_khz,cpu_policy5_cur_khz,cpu_policy6_cur_khz,cpu_policy7_cur_khz,cpu_policy0_min_khz,cpu_policy1_min_khz,cpu_policy2_min_khz,cpu_policy3_min_khz,cpu_policy4_min_khz,cpu_policy5_min_khz,cpu_policy6_min_khz,cpu_policy7_min_khz,cpu_policy0_max_khz,cpu_policy1_max_khz,cpu_policy2_max_khz,cpu_policy3_max_khz,cpu_policy4_max_khz,cpu_policy5_max_khz,cpu_policy6_max_khz,cpu_policy7_max_khz,gpu_cur_khz,gpu_min_khz,gpu_max_khz,core_cur_khz,memory_cur_khz,memory_min_khz,memory_max_khz,npu_cur_khz,cpu_temp_c,gpu_temp_c,soc_temp_c,board_temp_c,npu_temp_c,voltage_cpu_mv,voltage_gpu_mv,voltage_core_mv,voltage_memory_mv,voltage_soc_mv,voltage_npu_mv,power_cpu_mw,power_gpu_mw,power_soc_mw,power_memory_mw,power_total_mw,throttle_raw,core_source,cpu_policy0_affected_cpus,cpu_policy0_governor,cpu_policy1_affected_cpus,cpu_policy1_governor,cpu_policy2_affected_cpus,cpu_policy2_governor,cpu_policy3_affected_cpus,cpu_policy3_governor,cpu_policy4_affected_cpus,cpu_policy4_governor,cpu_policy5_affected_cpus,cpu_policy5_governor,cpu_policy6_affected_cpus,cpu_policy6_governor,cpu_policy7_affected_cpus,cpu_policy7_governor,gpu_governor,gpu_source,memory_governor,memory_source,npu_source,pi_clock_arm_khz,pi_clock_emmc_khz,pi_clock_hevc_khz,pi_clock_isp_khz,pi_throttled_hex,pi_voltage_sdram_c_mv,pi_voltage_sdram_i_mv,pi_voltage_sdram_p_mv,temp_cpu_thermal_c,voltage_regulator_3v3_mv,voltage_regulator_5v0_mv,voltage_regulator_vcc_sd_mv,voltage_regulator_vdd_3v3_mv,voltage_regulator_vdd_sd_io_mv,voltage_regulator_wl_on_regulator_mv
0,1780355301389025300,1780355301.389027,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500004,0,0,500007,0,0,0,0,44.4,0,44.4,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400037,199803,500007,500004,0x0,600.0,600.0,1100.0,44.1,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
1,1780355303284175100,1780355303.2841773,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500004,0,0,500007,0,0,0,0,45.5,0,45.5,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400030,199803,500004,500004,0x0,600.0,600.0,1100.0,44.1,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
2,1780355305161057400,1780355305.1610594,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500004,0,0,500004,0,0,0,0,45.5,0,45.5,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400023,199803,500007,500007,0x0,600.0,600.0,1100.0,44.65,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
3,1780355307030785900,1780355307.0307882,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500007,0,0,500007,0,0,0,0,45.0,0,45.0,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400020,199803,500007,500007,0x0,600.0,600.0,1100.0,45.2,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
sample_index,timestamp_ns,timestamp_s,cpu_policy0_cur_khz,cpu_policy1_cur_khz,cpu_policy2_cur_khz,cpu_policy3_cur_khz,cpu_policy4_cur_khz,cpu_policy5_cur_khz,cpu_policy6_cur_khz,cpu_policy7_cur_khz,cpu_policy0_min_khz,cpu_policy1_min_khz,cpu_policy2_min_khz,cpu_policy3_min_khz,cpu_policy4_min_khz,cpu_policy5_min_khz,cpu_policy6_min_khz,cpu_policy7_min_khz,cpu_policy0_max_khz,cpu_policy1_max_khz,cpu_policy2_max_khz,cpu_policy3_max_khz,cpu_policy4_max_khz,cpu_policy5_max_khz,cpu_policy6_max_khz,cpu_policy7_max_khz,gpu_cur_khz,gpu_min_khz,gpu_max_khz,core_cur_khz,memory_cur_khz,memory_min_khz,memory_max_khz,npu_cur_khz,cpu_temp_c,gpu_temp_c,soc_temp_c,board_temp_c,npu_temp_c,voltage_cpu_mv,voltage_gpu_mv,voltage_core_mv,voltage_memory_mv,voltage_soc_mv,voltage_npu_mv,power_cpu_mw,power_gpu_mw,power_soc_mw,power_memory_mw,power_total_mw,throttle_raw,core_source,cpu_policy0_affected_cpus,cpu_policy0_governor,cpu_policy1_affected_cpus,cpu_policy1_governor,cpu_policy2_affected_cpus,cpu_policy2_governor,cpu_policy3_affected_cpus,cpu_policy3_governor,cpu_policy4_affected_cpus,cpu_policy4_governor,cpu_policy5_affected_cpus,cpu_policy5_governor,cpu_policy6_affected_cpus,cpu_policy6_governor,cpu_policy7_affected_cpus,cpu_policy7_governor,gpu_governor,gpu_source,memory_governor,memory_source,npu_source,pi_clock_arm_khz,pi_clock_emmc_khz,pi_clock_hevc_khz,pi_clock_isp_khz,pi_throttled_hex,pi_voltage_sdram_c_mv,pi_voltage_sdram_i_mv,pi_voltage_sdram_p_mv,temp_cpu_thermal_c,voltage_regulator_3v3_mv,voltage_regulator_5v0_mv,voltage_regulator_vcc_sd_mv,voltage_regulator_vdd_3v3_mv,voltage_regulator_vdd_sd_io_mv,voltage_regulator_wl_on_regulator_mv
0,1780356360728125700,1780356360.7281265,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500004,0,0,500004,0,0,0,0,45.0,0,45.0,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400033,199803,500007,500007,0x0,600.0,600.0,1100.0,45.2,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
1,1780356362586299900,1780356362.5863018,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500004,0,0,500004,0,0,0,0,46.1,0,46.1,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400023,199803,500004,500007,0x0,600.0,600.0,1100.0,46.85,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
2,1780356364482476300,1780356364.4824789,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500007,0,0,500004,0,0,0,0,45.0,0,45.0,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400030,199803,500004,500007,0x0,600.0,600.0,1100.0,44.65,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
3,1780356366330431400,1780356366.330434,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,500007,0,0,500004,0,0,0,0,45.5,0,45.5,0,0,0,0,887.6,1100.0,0,0,0,0,0,0,0,0,vcgencmd measure_clock core,0 1 2 3,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vcgencmd measure_clock v3d,0,0,0,2400023,199803,500004,500007,0x0,600.0,600.0,1100.0,45.2,3300.0,5000.0,3300.0,3300.0,1800.0,3300.0
